player_season_id,rank,similar_player_season_id,similarity
bundesliga_1fcheidenheim1846_arijonibrahimovic__2526,9,superlig_bodrumspor_enisbardhi__2425,0.9777
bundesliga_1fcheidenheim1846_arijonibrahimovic__2526,10,ligue1_toulouse_arondonnum__2526,0.9767
bundesliga_1fcheidenheim1846_benediktgimber__2425,1,bundesliga_borussiamonchengladbach_koitakura__2425,0.9907
bundesliga_1fcheidenheim1846_benediktgimber__2425,2,seriea_verona_diegocoppola__2425,0.9892
bundesliga_1fcheidenheim1846_benediktgimber__2425,3,laliga_realbetis_natan__2526,0.9887
bundesliga_1fcheidenheim1846_benediktgimber__2425,4,laliga_espanyol_fernandocalero__2526,0.9879
bundesliga_1fcheidenheim1846_benediktgimber__2425,5,superlig_gaziantep_brunoviana__2425,0.9866
bundesliga_1fcheidenheim1846_benediktgimber__2425,6,laliga_realbetis_diegollorente__2425,0.9862
bundesliga_1fcheidenheim1846_benediktgimber__2425,7,laliga_valenciacf_eraycomert__2526,0.9856
bundesliga_1fcheidenheim1846_benediktgimber__2425,8,superlig_antalyaspor_omertoprak__2324,0.9855
bundesliga_1fcheidenheim1846_benediktgimber__2425,9,seriea_cagliari_yerrymina__2526,0.9847
bundesliga_1fcheidenheim1846_benediktgimber__2425,10,seriea_cremonese_federicobaschirotto__2526,0.9847
bundesliga_1fcheidenheim1846_benediktgimber__2526,1,premierleague_westhamunited_jeanclairtodibo__2425,0.9931
bundesliga_1fcheidenheim1846_benediktgimber__2526,2,ligue1_strasbourg_mamadousarr__2425,0.9891
bundesliga_1fcheidenheim1846_benediktgimber__2526,3,seriea_verona_victornelsson__2526,0.9874
bundesliga_1fcheidenheim1846_benediktgimber__2526,4,ligue1_lorient_montassartalbi__2324,0.9864
bundesliga_1fcheidenheim1846_benediktgimber__2526,5,laliga_realbetis_natan__2526,0.9861
bundesliga_1fcheidenheim1846_benediktgimber__2526,6,superlig_kayserispor_josephattamah__2425,0.9849
bundesliga_1fcheidenheim1846_benediktgimber__2526,7,laliga_mallorca_matijanastasic__2324,0.9838
bundesliga_1fcheidenheim1846_benediktgimber__2526,8,laliga_laspalmas_alexsuarez__2425,0.9835
bundesliga_1fcheidenheim1846_benediktgimber__2526,9,bundesliga_freiburg_manuelgulde__2324,0.9832
bundesliga_1fcheidenheim1846_benediktgimber__2526,10,bundesliga_unionberlin_kevinvogt__2324,0.9824
bundesliga_1fcheidenheim1846_buduzivzivadze__2526,1,bundesliga_mainz05_jonathanburkardt__2324,0.9835
bundesliga_1fcheidenheim1846_buduzivzivadze__2526,2,laliga_sevilla_isaacromero__2425,0.9754
bundesliga_1fcheidenheim1846_buduzivzivadze__2526,3,premierleague_chelsea_joaopedro__2526,0.9740
bundesliga_1fcheidenheim1846_buduzivzivadze__2526,4,superlig_caykurrizespor_dalvaresanovic__2425,0.9737
bundesliga_1fcheidenheim1846_buduzivzivadze__2526,5,seriea_bologna_santiagocastro__2425,0.9728
bundesliga_1fcheidenheim1846_buduzivzivadze__2526,6,laliga_sevilla_isaacromero__2526,0.9718
bundesliga_1fcheidenheim1846_buduzivzivadze__2526,7,seriea_sassuolo_mbalanzola__2526,0.9713
bundesliga_1fcheidenheim1846_buduzivzivadze__2526,8,premierleague_crystalpalace_ismailasarr__2526,0.9710
bundesliga_1fcheidenheim1846_buduzivzivadze__2526,9,premierleague_chelsea_liamdelap__2526,0.9706
bundesliga_1fcheidenheim1846_buduzivzivadze__2526,10,superlig_basaksehir_philippekeny__2425,0.9698
bundesliga_1fcheidenheim1846_erendinkci__2526,1,seriea_juventus_westonmckennie__2526,0.9729
bundesliga_1fcheidenheim1846_erendinkci__2526,2,premierleague_newcastleunited_joelinton__2324,0.9710
bundesliga_1fcheidenheim1846_erendinkci__2526,3,bundesliga_freiburg_rolandsallai__2324,0.9664
bundesliga_1fcheidenheim1846_erendinkci__2526,4,ligue1_lorient_jeanvictormakengo__2526,0.9654
bundesliga_1fcheidenheim1846_erendinkci__2526,5,bundesliga_sportclubfreiburg_johanmanzambi__2526,0.9638
bundesliga_1fcheidenheim1846_erendinkci__2526,6,bundesliga_1fckoln_lintonmaina__2526,0.9634
bundesliga_1fcheidenheim1846_erendinkci__2526,7,bundesliga_fcheidenheim_kevinsessa__2324,0.9622
bundesliga_1fcheidenheim1846_erendinkci__2526,8,premierleague_nottinghamforest_ryanyates__2425,0.9617
bundesliga_1fcheidenheim1846_erendinkci__2526,9,seriea_hellasverona_tijjaninoslin__2324,0.9613
bundesliga_1fcheidenheim1846_erendinkci__2526,10,laliga_realbetis_pablofornals__2425,0.9612
bundesliga_1fcheidenheim1846_franskratzig__2425,1,superlig_caykurrizespor_rachidghezzal__2425,0.9687
bundesliga_1fcheidenheim1846_franskratzig__2425,2,superlig_sivasspor_azizbekturgunboev__2425,0.9667
bundesliga_1fcheidenheim1846_franskratzig__2425,3,seriea_milan_alessandroflorenzi__2324,0.9656
bundesliga_1fcheidenheim1846_franskratzig__2425,4,premierleague_liverpool_trentalexanderarnold__2425,0.9652
bundesliga_1fcheidenheim1846_franskratzig__2425,5,premierleague_leicestercity_jordanayew__2425,0.9650
bundesliga_1fcheidenheim1846_franskratzig__2425,6,bundesliga_1fcunionberlin_janikhaberer__2526,0.9635
bundesliga_1fcheidenheim1846_franskratzig__2425,7,laliga_mallorca_antoniosanchez__2526,0.9625
bundesliga_1fcheidenheim1846_franskratzig__2425,8,seriea_udinese_sandilovric__2324,0.9621
bundesliga_1fcheidenheim1846_franskratzig__2425,9,bundesliga_bayer04leverkusen_alejandrogrimaldo__2526,0.9620
bundesliga_1fcheidenheim1846_franskratzig__2425,10,bundesliga_1fcheidenheim1846_hennesbehrens__2526,0.9620
bundesliga_1fcheidenheim1846_hennesbehrens__2526,1,premierleague_newcastleunited_lewishall__2526,0.9725
bundesliga_1fcheidenheim1846_hennesbehrens__2526,2,bundesliga_bochum_maximilianwittek__2324,0.9681
bundesliga_1fcheidenheim1846_hennesbehrens__2526,3,premierleague_tottenhamhotspur_pedroporro__2324,0.9679
bundesliga_1fcheidenheim1846_hennesbehrens__2526,4,seriea_cremonese_alessiozerbin__2526,0.9678
bundesliga_1fcheidenheim1846_hennesbehrens__2526,5,bundesliga_1fcunionberlin_janikhaberer__2526,0.9678
bundesliga_1fcheidenheim1846_hennesbehrens__2526,6,bundesliga_augsburg_madspedersen__2324,0.9674
bundesliga_1fcheidenheim1846_hennesbehrens__2526,7,premierleague_liverpool_trentalexanderarnold__2425,0.9666
bundesliga_1fcheidenheim1846_hennesbehrens__2526,8,premierleague_bournemouth_alexjimenez__2526,0.9653
bundesliga_1fcheidenheim1846_hennesbehrens__2526,9,ligue1_marseille_emerson__2526,0.9650
bundesliga_1fcheidenheim1846_hennesbehrens__2526,10,superlig_basaksehir_leodubois__2324,0.9643
bundesliga_1fcheidenheim1846_janschoppner__2425,1,premierleague_newcastleunited_joelinton__2526,0.9868
bundesliga_1fcheidenheim1846_janschoppner__2425,2,bundesliga_mainz05_leandrobarreiro__2324,0.9845
bundesliga_1fcheidenheim1846_janschoppner__2425,3,laliga_girona_yangelherrera__2324,0.9843
bundesliga_1fcheidenheim1846_janschoppner__2425,4,seriea_udinese_jakubpiotrowski__2526,0.9818
bundesliga_1fcheidenheim1846_janschoppner__2425,5,ligue1_lyon_corentintolisso__2526,0.9811
bundesliga_1fcheidenheim1846_janschoppner__2425,6,premierleague_brightonandhovealbion_jackhinshelwood__2526,0.9807
bundesliga_1fcheidenheim1846_janschoppner__2425,7,laliga_sevilla_saulniguez__2425,0.9796
