player_season_id,rank,similar_player_season_id,similarity
bundesliga_1fcheidenheim1846_adrianbeck__2425,1,laliga_girona_aleixgarcia__2324,0.3596
bundesliga_1fcheidenheim1846_adrianbeck__2425,2,premierleague_manchesterunited_brunofernandes__2324,0.3592
bundesliga_1fcheidenheim1846_adrianbeck__2425,3,premierleague_brightonhovealbion_pascalgro__2324,0.3591
bundesliga_1fcheidenheim1846_adrianbeck__2425,4,seriea_inter_hakancalhanoglu__2324,0.3569
bundesliga_1fcheidenheim1846_adrianbeck__2425,5,laliga_getafe_luismilla__2526,0.3533
bundesliga_1fcheidenheim1846_adrianbeck__2425,6,seriea_milan_lukamodric__2526,0.3531
bundesliga_1fcheidenheim1846_adrianbeck__2425,7,bundesliga_bayernmunchen_joshuakimmich__2425,0.3525
bundesliga_1fcheidenheim1846_adrianbeck__2425,8,laliga_realmadrid_lukamodric__2425,0.3514
bundesliga_1fcheidenheim1846_adrianbeck__2425,9,bundesliga_borussiadortmund_pascalgro__2425,0.3490
bundesliga_1fcheidenheim1846_adrianbeck__2425,10,premierleague_manchesterunited_brunofernandes__2425,0.3478
bundesliga_1fcheidenheim1846_arijonibrahimovic__2526,1,premierleague_manchestercity_julianalvarez__2324,0.7093
bundesliga_1fcheidenheim1846_arijonibrahimovic__2526,2,superlig_fatihkaragumruk_valentineysseric__2324,0.7040
bundesliga_1fcheidenheim1846_arijonibrahimovic__2526,3,laliga_realsociedad_sergiogomez__2425,0.7013
bundesliga_1fcheidenheim1846_arijonibrahimovic__2526,4,laliga_athleticclub_alexberenguer__2526,0.6961
bundesliga_1fcheidenheim1846_arijonibrahimovic__2526,5,premierleague_manchesterunited_brunofernandes__2324,0.6955
bundesliga_1fcheidenheim1846_arijonibrahimovic__2526,6,premierleague_fulham_andreaspereira__2425,0.6924
bundesliga_1fcheidenheim1846_arijonibrahimovic__2526,7,premierleague_lutontown_alfiedoughty__2324,0.6908
bundesliga_1fcheidenheim1846_arijonibrahimovic__2526,8,laliga_getafe_luismilla__2526,0.6899
bundesliga_1fcheidenheim1846_arijonibrahimovic__2526,9,bundesliga_borussiadortmund_julianbrandt__2324,0.6893
bundesliga_1fcheidenheim1846_arijonibrahimovic__2526,10,superlig_gaziantep_maxim__2526,0.6877
bundesliga_1fcheidenheim1846_benediktgimber__2425,1,laliga_laspalmas_mikamarmol__2324,0.4383
bundesliga_1fcheidenheim1846_benediktgimber__2425,2,premierleague_liverpool_virgilvandijk__2324,0.4348
bundesliga_1fcheidenheim1846_benediktgimber__2425,3,bundesliga_borussiadortmund_nicoschlotterbeck__2324,0.4236
bundesliga_1fcheidenheim1846_benediktgimber__2425,4,premierleague_westhamunited_maxkilman__2425,0.4229
bundesliga_1fcheidenheim1846_benediktgimber__2425,5,laliga_rayovallecano_florianlejeune__2324,0.4228
bundesliga_1fcheidenheim1846_benediktgimber__2425,6,superlig_alanyaspor_fidanaliti__2324,0.4213
bundesliga_1fcheidenheim1846_benediktgimber__2425,7,bundesliga_eintrachtfrankfurt_willianpacho__2324,0.4204
bundesliga_1fcheidenheim1846_benediktgimber__2425,8,superlig_alanyaspor_fidanaliti__2425,0.4198
bundesliga_1fcheidenheim1846_benediktgimber__2425,9,superlig_samsunspor_rickvandrongelen__2425,0.4192
