x,y,count
69,84,1
69,70,1
69,67,1
69,68,1
69,19,1
69,76,2
69,60,1
69,85,1
69,29,2
69,55,1
69,46,1
69,63,1
69,38,1
69,88,1
72,16,1
72,85,2
72,100,1
72,69,1
72,74,1
72,32,1
72,43,1
72,78,1
72,5,1
72,15,1
72,59,1
72,73,1
72,31,1
72,89,1
72,95,1
37,45,1
37,70,1
37,66,1
37,21,1
37,61,2
37,88,1
37,74,1
37,73,1
37,41,1
37,72,1
37,75,1
63,94,1
63,66,1
63,79,1
63,90,1
63,84,1
63,56,1
63,13,1
63,77,1
63,67,2
63,61,1
63,82,1
63,92,1
63,75,1
63,48,1
63,47,1
63,86,1
63,36,1
60,77,1
60,98,1
60,92,2
60,1,1
60,93,1
60,79,1
60,83,1
60,13,1
60,24,1
60,50,2
60,97,1
60,61,1
60,17,1
60,45,1
60,32,1
60,66,1
60,73,1
60,59,2
60,47,2
60,30,1
60,90,1
49,80,1
49,59,1
49,36,1
49,67,1
49,90,1
49,43,1
49,73,1
49,97,2
49,81,1
49,12,2
49,15,1
49,99,1
49,98,1
47,75,1
47,72,1
47,68,1
47,81,1
47,47,1
47,46,1
47,76,1
47,85,1
47,95,1
47,77,1
47,13,1
39,88,1
39,25,1
39,91,1
39,81,2
39,87,1
39,23,1
39,15,1
39,97,1
39,46,1
39,3,1
39,35,1
59,92,1
59,76,1
59,97,1
59,72,1
59,67,1
59,11,1
59,68,2
59,41,1
59,83,1
59,57,2
59,88,1
59,29,2
59,26,1
59,34,1
59,81,1
59,24,2
59,54,1
59,53,1
59,74,1
59,69,1
50,79,1
50,62,1
50,77,1
50,68,1
50,13,1
50,17,1
50,5,2
50,98,1
50,24,1
50,82,1
50,27,1
64,23,2
64,20,1
64,65,1
64,93,2
64,91,2
64,92,1
64,60,1
64,94,1
64,21,1
64,0,2
64,42,1
64,71,1
64,2,1
64,67,1
64,66,1
64,34,1
64,43,1
64,79,1
64,36,1
75,33,1
75,68,1
75,16,1
75,11,1
75,38,1
75,59,1
75,20,1
75,53,1
75,79,2
75,42,1
75,4,1
75,37,1
75,66,1
75,88,1
75,17,1
75,32,1
74,82,1
74,23,1
74,42,1
74,0,1
74,73,1
74,60,1
74,77,1
74,49,1
74,75,2
74,57,1
74,91,1
74,80,1
74,22,1
74,81,1
74,64,1
79,89,3
79,54,1
79,56,1
79,25,1
79,84,1
79,27,1
79,26,2
79,62,2
79,12,1
79,67,1
79,86,1
79,73,1
79,71,1
79,65,1
79,72,1
79,40,1
79,45,1
79,64,1
79,95,1
79,77,1
79,87,2
79,28,1
67,83,1
67,95,1
67,10,1
67,1,1
67,22,1
67,92,1
67,87,1
67,67,1
67,80,1
67,89,1
67,43,1
67,72,1
67,3,1
67,48,1
67,50,1
67,0,1
67,25,1
67,74,1
67,36,1
57,39,1
57,31,1
57,82,2
57,68,1
57,71,1
57,30,1
57,17,3
57,40,1
57,42,1
57,23,1
57,52,1
57,41,1
56,40,1
56,93,1
56,26,1
56,24,2
56,8,1
56,95,1
56,75,1
56,39,1
56,92,1
38,91,1
38,69,1
38,67,1
38,90,2
38,92,1
38,49,2
38,88,1
38,80,1
38,83,1
38,23,1
38,74,1
38,59,1
38,77,1
94,45,1
94,28,1
94,41,1
