x,y,count
25,82,1
25,23,1
25,7,1
25,42,1
25,83,1
25,87,1
25,14,1
25,12,1
25,27,1
25,26,2
25,29,1
25,8,1
25,58,1
25,11,1
25,72,1
25,19,1
25,88,1
25,89,1
25,41,1
25,49,2
24,85,1
24,88,1
24,70,1
24,35,1
24,2,1
24,78,1
24,64,1
24,31,1
24,32,1
24,91,1
24,76,2
24,50,2
24,19,1
24,67,1
24,51,1
24,68,1
24,49,1
24,81,1
24,18,1
24,61,1
24,38,2
34,60,3
34,47,1
34,30,1
34,61,1
34,8,1
34,41,1
34,68,1
34,67,1
34,39,3
34,28,1
34,38,1
34,22,1
34,34,1
34,65,1
34,71,3
34,52,2
34,29,1
34,56,1
34,9,1
34,77,1
34,0,1
34,23,1
34,66,1
34,74,1
34,43,1
60,61,2
60,20,1
60,58,1
60,33,1
60,67,1
60,74,1
60,37,1
60,62,1
60,52,1
60,80,1
60,49,1
60,0,1
60,6,1
60,60,1
60,59,2
60,70,1
60,85,1
60,50,1
43,89,1
43,54,1
43,17,1
43,53,2
43,69,1
43,52,1
43,76,2
43,94,1
43,60,1
43,31,1
43,96,1
43,47,2
43,14,1
43,56,2
43,40,1
43,18,2
43,75,1
43,74,1
43,34,1
43,39,1
43,44,1
43,93,1
43,16,1
43,48,1
43,3,1
43,25,1
43,67,1
43,59,1
43,23,1
43,15,1
43,35,1
18,10,1
18,69,1
18,43,1
18,31,1
18,42,1
18,61,2
18,64,1
18,75,1
18,98,1
18,13,1
15,5,1
15,43,1
15,45,1
15,49,1
15,60,1
15,25,3
15,37,1
15,64,1
17,5,1
17,13,2
17,76,1
17,70,1
17,28,3
17,32,1
17,56,1
17,48,1
17,36,1
17,23,2
17,75,1
17,58,2
17,59,1
17,55,1
17,38,1
17,42,1
17,95,1
17,91,1
17,87,1
41,36,1
41,28,1
41,78,1
41,13,2
41,31,2
41,56,1
41,35,2
41,70,1
41,25,1
41,42,1
41,26,1
41,24,2
41,32,1
41,63,2
41,95,1
41,82,1
41,81,2
41,37,1
41,79,1
41,75,1
41,9,1
38,52,1
38,48,2
38,84,2
38,39,1
38,41,2
38,58,1
38,36,3
38,54,1
38,45,1
38,21,1
38,72,1
38,51,1
38,10,1
38,9,1
38,22,1
38,17,1
38,85,1
38,35,1
38,18,1
16,64,1
16,51,1
16,32,1
16,41,2
16,79,1
16,43,1
63,64,2
63,27,3
63,4,1
63,12,1
63,50,2
63,78,1
63,60,1
63,18,1
63,17,1
63,25,1
63,6,1
63,85,1
63,11,2
63,34,1
63,79,1
63,19,1
63,31,1
63,37,1
63,26,1
63,28,1
66,81,1
66,72,2
66,41,1
66,15,1
66,80,1
66,19,1
66,33,1
66,9,1
66,17,1
66,5,1
66,42,1
66,97,1
66,39,1
66,27,1
70,42,1
70,19,1
70,27,1
70,30,1
70,51,1
70,20,3
70,59,1
70,79,1
70,33,1
70,74,1
70,78,1
70,22,1
70,28,1
