x,y,count
26,55,2
26,17,1
26,23,2
26,41,2
26,49,1
26,44,1
26,72,1
26,33,2
26,71,1
26,58,1
26,25,2
26,29,1
26,54,2
26,32,1
26,18,2
26,37,1
26,30,1
26,20,1
26,40,1
26,19,2
26,43,4
26,53,1
26,10,1
26,6,1
26,79,1
26,35,4
26,14,1
28,36,2
28,10,1
28,5,2
28,25,6
28,44,1
28,89,1
28,65,1
28,67,1
28,26,2
28,28,1
28,14,1
28,22,1
28,15,1
28,40,1
28,12,2
28,45,1
28,37,2
28,58,1
28,33,1
28,31,3
28,32,1
28,35,1
28,34,2
28,17,1
28,18,2
28,52,2
28,43,3
28,49,1
28,51,1
28,47,1
28,30,1
28,61,1
28,64,1
28,57,1
30,42,3
30,9,1
30,47,3
30,83,1
30,68,1
30,40,3
30,31,1
30,34,1
30,16,1
30,44,1
30,46,2
30,65,1
30,28,1
30,37,4
30,21,2
30,35,2
30,20,1
30,63,1
30,43,3
30,33,2
30,32,1
30,30,3
30,45,3
30,54,1
30,41,2
30,76,1
30,36,2
30,39,2
30,61,1
30,56,1
30,27,1
30,59,1
30,55,1
30,82,1
30,18,1
30,23,2
30,19,1
30,24,1
30,38,1
41,25,2
41,29,1
41,13,3
41,28,2
41,24,2
41,20,1
41,53,1
41,38,2
41,11,2
41,8,3
41,47,1
41,23,2
41,12,1
41,14,1
41,81,1
41,42,2
41,37,2
41,41,1
41,66,1
41,75,1
41,87,2
41,27,2
41,26,1
41,67,1
41,72,1
41,68,1
41,33,1
41,44,1
41,7,2
64,6,1
64,64,1
64,28,1
64,12,1
64,20,1
64,42,1
64,29,1
64,11,1
35,53,2
35,10,2
35,41,2
35,38,2
35,37,2
35,30,5
35,0,1
35,59,2
35,76,1
35,3,1
35,36,3
35,28,1
35,24,1
35,8,1
35,16,1
35,23,1
35,31,2
35,29,1
35,40,1
35,54,1
35,70,2
35,46,1
35,56,4
35,43,2
35,32,3
35,42,1
35,69,2
35,48,1
35,27,2
35,39,1
35,14,1
35,68,1
35,26,2
35,25,1
29,24,2
29,60,4
29,32,2
29,69,1
29,67,1
29,30,1
29,28,4
29,47,2
29,42,1
29,37,3
29,36,3
29,33,2
29,39,4
29,16,3
29,10,1
29,48,1
29,34,1
29,44,1
29,73,1
29,52,1
29,27,2
29,2,2
29,82,1
29,25,2
29,49,2
29,53,1
29,43,3
29,50,2
29,31,1
29,38,1
29,19,1
29,41,2
29,22,1
29,13,2
29,66,1
29,59,1
54,26,1
54,54,1
54,32,1
54,44,1
54,47,1
54,35,2
54,81,1
54,43,1
54,36,1
54,52,1
54,17,2
54,14,1
54,28,1
54,15,2
54,11,1
54,9,1
54,62,1
54,13,1
54,46,1
54,64,2
54,61,1
38,36,2
38,95,1
38,51,1
38,20,1
38,50,2
38,71,1
38,57,1
38,75,1
38,56,1
38,8,1
38,14,1
38,33,2
38,18,1
38,68,2
38,38,3
38,29,1
38,47,1
38,45,1
38,62,1
38,26,1
38,13,2
38,34,1
38,43,1
38,53,1
38,37,1
38,41,1
38,28,3
38,42,1
38,30,1
38,61,2
38,52,1
38,54,1
38,88,1
38,49,1
22,20,1
22,46,2
22,50,1
22,25,4
22,21,1
22,31,4
22,55,1
22,24,1
22,15,2
22,14,1
22,28,3
22,33,1
22,5,1
22,23,2
22,18,3
22,10,1
22,72,1
22,43,1
22,54,1
22,44,1
22,70,1
22,37,1
22,73,1
22,61,2
22,36,1
22,27,1
8,29,1
8,43,1
8,35,1
8,25,2
8,64,1
8,48,2
8,52,1
8,77,1
8,28,1
8,46,2
8,32,1
8,10,1
8,56,1
8,38,1
8,33,1
8,58,1
8,40,1
8,50,1
8,70,1
8,36,1
8,26,1
8,39,2
8,34,1
8,18,1
8,57,1
8,4,1
8,55,1
8,19,1
40,29,2
40,8,1
40,15,1
40,34,3
40,42,1
40,18,2
40,93,1
40,31,3
40,40,2
40,10,1
40,37,3
40,28,1
40,6,1
40,27,1
40,14,1
40,21,1
40,79,1
40,32,1
40,35,2
40,49,1
40,30,1
40,48,1
40,36,2
40,38,1
40,51,1
40,68,1
40,60,1
40,83,1
40,53,1
40,33,1
27,44,3
27,5,1
27,37,2
27,45,2
27,33,3
