x,y,count
41,4,1
41,26,2
41,24,2
41,68,1
41,7,1
41,17,1
41,33,2
41,44,1
41,11,1
41,57,1
41,14,2
41,73,2
41,85,1
41,69,1
41,27,1
41,30,2
41,43,2
41,31,1
41,20,1
41,76,1
41,83,2
41,62,2
41,34,1
41,58,2
41,6,1
41,67,1
41,65,1
41,32,1
41,19,1
41,12,1
41,87,1
41,64,1
41,95,1
41,70,1
41,86,1
41,61,1
41,50,1
13,32,1
13,35,1
13,64,2
13,11,2
13,41,1
13,14,1
13,54,1
13,45,1
13,24,1
13,76,1
13,47,1
13,39,1
13,55,1
13,58,1
13,81,1
13,75,1
13,73,1
13,93,1
13,84,1
13,88,1
53,14,2
53,41,2
53,29,1
53,9,1
53,40,3
53,63,1
53,71,1
53,42,3
53,13,2
53,7,2
53,80,1
53,78,1
53,24,1
53,32,1
53,30,1
53,91,2
53,10,2
53,27,2
53,35,2
53,50,1
53,19,2
53,44,1
53,47,4
53,28,1
53,49,1
53,39,1
53,95,1
53,52,1
53,60,1
53,12,1
53,6,1
53,94,1
53,31,1
53,46,1
53,22,1
44,10,1
44,67,1
44,41,2
44,29,4
44,42,2
44,13,1
44,27,2
44,35,1
44,32,4
44,49,3
44,43,1
44,45,1
44,47,1
44,30,1
44,84,1
44,86,2
44,26,3
44,36,1
44,23,1
44,0,1
44,78,1
44,6,4
44,11,1
44,55,1
44,51,1
44,21,1
44,66,2
44,82,1
44,70,1
44,16,1
44,33,2
44,87,1
44,63,2
44,91,1
44,31,1
44,8,1
44,34,1
44,57,1
44,48,2
44,18,1
44,75,1
44,76,1
44,60,1
44,64,1
44,61,1
44,65,1
70,20,1
70,77,1
70,37,1
70,36,1
70,8,1
70,27,2
70,45,1
70,51,1
70,28,1
70,18,1
31,12,1
31,54,1
31,60,1
31,35,2
31,22,2
31,37,2
31,51,1
31,47,1
31,38,1
31,15,1
31,32,1
31,18,1
31,64,1
31,49,2
31,65,2
31,2,1
31,28,1
31,83,1
31,10,1
31,21,2
31,74,1
31,39,2
31,63,2
31,40,2
31,93,1
31,58,3
31,73,1
31,68,1
31,48,2
31,69,1
31,36,1
31,16,1
31,27,1
31,57,1
31,42,2
31,17,2
31,78,1
31,67,1
31,56,1
31,50,2
31,7,1
31,34,2
