x,y,count
85,4,1
85,91,1
85,6,1
85,32,1
85,29,1
54,26,1
54,7,1
54,59,1
54,33,1
54,30,2
54,25,1
54,20,1
54,3,1
54,15,1
54,80,1
57,26,1
57,90,1
57,92,2
57,35,1
57,96,1
57,0,1
57,6,1
57,27,1
57,29,1
57,23,1
57,10,1
57,22,1
57,46,1
57,39,1
57,38,1
57,28,1
57,8,1
75,30,1
75,5,2
75,73,1
75,12,1
75,38,1
75,34,1
75,63,1
75,79,1
71,87,1
71,85,1
71,93,1
71,11,2
71,5,1
71,3,1
71,6,1
71,70,1
71,62,1
71,95,1
71,91,1
71,41,1
71,18,1
66,23,1
66,18,1
66,87,1
66,95,1
66,80,1
66,51,2
66,71,1
66,4,2
66,25,1
66,0,1
66,79,1
66,26,1
66,86,2
66,11,1
55,19,1
55,7,1
55,37,1
55,38,1
55,86,1
55,8,2
55,54,1
55,31,1
55,33,1
55,3,1
55,30,1
56,4,1
56,22,1
56,75,1
56,86,1
56,81,1
56,11,1
56,13,1
56,44,1
56,7,1
56,36,1
56,82,1
59,7,2
59,6,2
59,3,2
59,100,1
59,5,1
59,76,2
59,11,1
59,12,1
59,78,1
59,19,1
59,1,1
59,29,1
26,36,1
26,66,1
26,89,1
26,30,2
26,33,1
26,10,1
26,3,1
26,13,1
26,14,1
26,68,1
26,27,1
26,49,1
43,27,1
43,91,2
43,97,1
43,30,1
43,58,1
43,83,1
43,34,1
43,72,1
43,73,1
43,12,1
43,14,1
43,74,1
43,23,1
43,7,1
43,5,1
52,22,1
52,48,1
52,27,1
52,25,1
52,62,1
52,43,1
52,57,1
52,0,1
52,80,1
60,0,2
60,17,1
60,78,1
60,92,1
60,34,1
60,11,1
60,30,1
60,2,1
60,8,1
60,15,1
60,14,1
60,5,1
60,26,1
23,11,1
23,33,1
23,10,1
23,6,1
21,10,1
21,26,1
21,8,1
21,28,1
21,23,1
21,70,1
21,56,1
28,9,3
28,0,2
28,28,1
28,36,1
28,34,1
28,4,2
28,10,1
28,3,1
28,37,1
28,61,1
28,58,1
28,39,1
70,0,1
70,88,1
70,96,1
70,81,1
70,13,1
70,80,1
70,5,1
70,8,1
70,14,1
70,24,1
70,53,1
70,87,1
40,8,3
40,7,1
40,34,1
40,12,1
40,11,1
40,35,1
40,26,1
40,18,1
40,64,2
40,73,1
40,10,1
40,15,1
40,5,1
40,2,1
53,15,1
53,17,1
53,39,2
53,41,1
53,3,1
53,16,1
53,11,1
53,49,1
53,24,1
53,18,1
53,42,1
53,37,1
53,95,1
62,0,1
62,95,1
62,84,1
62,19,1
62,29,1
62,9,1
62,10,1
62,5,1
62,12,1
62,11,1
62,76,1
20,8,1
20,13,1
20,0,1
20,82,1
20,85,1
20,3,1
20,70,1
48,5,1
48,43,2
48,28,1
48,53,1
48,27,1
9,8,1
9,68,1
9,69,1
9,18,1
9,19,1
9,23,1
9,57,1
45,0,2
45,48,1
45,97,1
45,45,1
45,73,1
45,74,1
45,44,1
45,31,1
45,94,1
45,34,1
45,25,1
45,17,1
45,14,1
45,90,1
47,2,1
47,92,1
47,98,1
47,93,2
47,28,1
47,8,1
47,46,1
47,68,1
67,11,1
67,71,1
67,66,1
67,81,1
67,87,1
67,43,1
67,20,1
67,89,1
67,0,2
67,27,1
67,5,1
67,23,2
67,10,1
67,12,1
67,13,1
67,8,2
67,92,1
67,6,1
25,29,2
25,67,1
25,7,1
30,8,1
30,11,1
30,22,2
30,71,1
30,53,1
30,13,1
30,4,2
30,28,1
30,75,1
30,64,1
36,18,2
36,26,1
36,85,2
36,78,1
36,80,2
36,93,1
36,83,1
36,76,1
36,14,1
36,15,1
36,9,1
36,31,2
36,8,1
36,46,1
36,24,1
36,81,1
41,0,2
41,80,1
41,81,1
41,93,1
41,73,1
41,31,1
41,4,1
41,3,1
41,82,1
17,14,1
17,84,1
58,37,1
58,81,1
58,71,1
58,19,1
58,4,2
58,3,1
58,28,1
58,10,2
58,11,1
58,66,1
58,7,1
58,75,1
58,25,1
58,82,2
6,12,2
99,99,20
99,0,16
99,60,1
