x,y,count
41,71,1
41,62,2
41,87,1
41,60,2
41,31,1
41,74,1
41,21,1
41,55,1
41,64,2
41,44,1
41,69,3
41,66,2
41,63,1
41,29,1
41,70,1
41,85,2
41,77,2
41,95,2
41,56,1
41,59,1
41,68,3
41,82,2
41,61,1
41,88,1
41,72,1
41,84,1
41,79,1
41,65,1
34,64,3
34,69,3
34,9,1
34,87,1
34,96,2
34,89,1
34,46,2
34,76,1
34,63,1
34,72,1
34,62,2
34,57,2
34,54,1
34,65,2
34,73,2
34,42,1
34,15,1
34,40,1
34,37,1
34,85,1
34,70,3
34,78,1
34,47,3
34,48,1
34,93,2
34,24,1
34,59,1
34,44,1
34,84,3
34,67,2
34,19,1
34,45,1
34,83,1
34,66,2
34,81,1
34,77,1
34,60,4
34,71,1
34,52,1
34,94,1
34,90,1
34,68,1
34,49,1
34,91,1
42,33,2
42,46,1
42,67,3
42,47,2
42,63,2
42,72,2
42,77,3
42,81,2
42,21,1
42,73,1
42,71,3
42,68,3
42,70,1
42,64,3
42,61,1
42,57,1
42,82,2
42,50,2
42,58,1
42,56,1
42,54,1
42,91,1
42,24,1
42,65,1
42,59,1
42,9,1
42,51,1
42,69,1
42,92,1
42,66,1
30,86,1
30,67,3
30,85,2
30,79,2
30,23,1
30,41,1
30,54,3
30,88,2
30,93,2
30,69,5
30,50,1
30,71,1
30,81,3
30,83,1
30,78,1
30,68,4
30,62,2
30,65,3
30,56,2
30,42,2
30,74,2
30,72,3
30,91,1
30,73,3
30,75,1
30,59,1
30,92,1
30,37,1
30,32,1
30,70,1
30,28,1
30,26,1
30,44,1
30,51,1
39,83,1
39,85,1
39,56,4
39,71,3
39,73,3
39,74,5
39,64,3
39,89,1
39,79,2
39,59,2
39,67,3
39,58,1
39,45,1
39,76,2
39,38,1
39,65,2
39,52,1
39,46,1
39,63,1
39,66,2
39,62,1
39,61,1
39,91,1
39,69,1
39,54,1
39,95,1
16,91,1
16,71,1
16,89,1
16,77,2
16,74,2
16,40,3
16,72,1
16,62,1
16,95,2
16,94,1
14,89,1
14,48,2
14,81,1
14,91,1
