x,y,count
65,36,1
65,81,1
65,94,1
65,68,1
65,66,2
65,89,1
65,54,1
65,58,1
65,83,1
65,71,1
65,80,1
65,74,1
69,90,1
69,93,1
69,100,1
69,35,1
69,86,2
69,56,1
69,70,1
69,14,2
69,40,1
69,0,1
69,61,1
69,71,1
69,52,1
69,28,1
69,75,1
73,77,1
73,43,1
73,94,1
73,65,1
73,82,1
73,78,1
73,29,1
73,59,1
73,73,2
73,54,1
73,42,1
73,39,1
73,68,2
73,14,1
73,38,1
73,61,1
73,69,1
73,56,3
73,62,2
73,10,1
73,41,2
73,87,1
73,51,1
73,63,1
94,57,1
94,58,1
94,70,1
94,79,1
94,78,1
94,66,3
94,23,1
94,80,1
94,64,1
94,39,1
94,2,1
94,81,1
94,49,1
94,71,1
62,48,1
62,28,1
62,84,1
62,90,1
62,52,1
62,81,1
62,73,1
62,63,1
62,42,1
62,20,1
62,72,1
62,74,1
75,58,1
75,66,1
75,70,1
75,96,1
75,8,1
75,61,1
75,49,1
75,56,1
75,42,1
75,85,1
75,53,1
75,94,1
75,10,1
75,63,2
75,48,1
75,84,1
75,45,1
75,74,1
75,34,1
75,73,1
83,49,1
83,83,1
83,66,1
83,96,1
83,75,1
83,85,1
83,63,1
80,58,1
80,66,3
80,90,1
80,69,2
80,53,2
80,67,1
80,56,3
80,49,2
80,57,1
80,27,1
80,73,1
80,39,1
80,11,1
81,57,1
81,51,3
81,89,1
81,61,1
81,52,1
81,73,1
81,62,1
81,34,1
81,48,1
74,48,1
74,65,2
74,28,1
74,40,1
74,36,1
74,88,1
74,86,2
74,51,1
74,78,1
74,41,1
74,71,1
74,64,1
74,76,1
74,75,1
74,84,1
74,26,1
47,39,1
47,53,1
47,58,2
61,40,1
61,76,1
61,72,1
61,80,1
61,58,1
61,71,2
61,73,1
61,66,1
61,97,1
61,86,1
61,70,1
61,49,1
77,31,3
77,43,1
77,92,1
77,90,1
77,75,1
77,89,1
77,52,2
77,76,1
77,79,1
77,68,1
77,7,1
77,54,1
77,96,1
77,49,1
71,17,1
71,93,1
71,62,1
71,66,1
71,8,1
71,36,1
71,82,1
71,79,1
71,95,2
71,77,2
71,48,1
71,85,1
71,72,1
71,22,1
71,54,1
12,36,1
60,72,1
60,71,1
60,59,1
60,76,1
60,68,1
60,63,1
60,15,1
60,78,3
60,95,1
60,36,1
60,87,1
60,33,1
60,14,1
60,80,1
60,81,1
93,53,1
93,72,1
93,49,1
93,54,2
93,60,1
93,67,2
93,58,1
93,68,1
93,66,1
93,46,1
93,48,1
64,71,2
64,83,2
64,51,1
64,88,1
64,75,1
64,35,1
64,42,1
64,18,1
64,55,1
64,91,1
64,94,1
64,57,1
66,65,2
66,60,1
66,94,1
66,42,1
66,77,2
66,73,2
66,63,1
66,71,1
66,67,1
66,17,1
66,58,1
66,44,1
66,75,1
66,43,1
66,50,1
72,93,1
72,90,1
72,18,1
72,62,3
72,88,1
72,87,1
72,85,1
72,72,1
72,81,1
72,73,1
72,67,1
72,52,1
72,57,1
72,56,1
72,46,1
72,29,1
72,69,1
14,47,3
13,47,1
13,53,1
84,77,1
84,50,1
84,40,1
84,62,1
84,69,1
84,66,1
84,51,1
84,57,1
84,46,1
84,53,1
84,73,1
84,31,1
84,52,1
84,58,1
95,69,1
95,46,1
95,95,1
95,44,1
95,53,1
95,73,1
95,50,1
95,49,1
95,67,1
95,63,1
95,58,1
95,23,1
95,52,1
96,67,1
96,69,1
96,70,3
96,83,1
96,49,1
96,65,1
96,75,1
96,53,1
88,52,1
88,50,4
88,46,1
88,74,1
88,72,2
88,64,1
88,39,2
88,77,1
88,42,1
88,53,2
88,95,1
88,63,1
88,44,1
88,38,1
88,94,2
86,48,1
86,49,2
86,70,1
86,72,2
86,31,1
86,57,1
86,58,2
86,62,1
86,68,1
86,96,1
86,76,1
86,66,2
86,55,1
86,73,1
86,54,1
86,56,2
86,69,1
86,18,1
86,92,1
86,35,1
86,63,1
78,72,1
78,67,2
78,46,1
78,51,2
78,57,1
78,60,1
78,69,2
78,64,1
78,88,1
78,38,1
78,68,1
78,62,1
78,70,1
78,7,1
78,6,1
78,41,1
78,93,1
78,61,1
78,84,1
63,94,2
63,28,1
63,17,2
63,38,1
63,35,1
63,57,1
63,25,1
63,93,2
63,16,1
63,74,1
40,73,1
40,97,1
40,94,1
40,72,1
40,66,1
40,87,1
92,18,1
92,90,1
92,45,1
92,57,1
92,95,1
92,85,2
92,62,1
92,67,1
92,52,1
92,76,1
92,49,1
53,81,1
53,56,1
53,55,1
53,68,1
53,39,1
53,80,1
53,96,1
53,82,1
53,60,1
53,79,1
57,83,2
57,85,1
57,72,1
57,51,1
57,74,1
57,63,1
57,92,1
57,70,1
57,88,1
57,89,1
57,57,1
56,70,1
56,30,1
56,72,1
56,64,1
56,75,1
56,10,1
56,66,1
56,79,1
56,59,1
56,47,1
48,75,1
48,65,1
48,67,1
48,94,1
76,55,1
76,80,2
76,64,2
76,61,1
76,75,1
76,50,1
76,58,1
76,53,1
76,49,1
76,68,2
76,89,2
76,100,2
76,92,1
76,76,1
76,87,1
76,63,1
89,67,1
89,65,2
89,46,1
89,73,1
89,64,1
89,51,1
89,43,1
89,71,2
89,82,1
89,36,1
89,49,1
89,60,1
36,90,1
36,80,1
36,29,1
44,91,1
44,30,1
44,32,1
44,43,1
44,10,1
44,92,1
91,53,1
91,47,1
91,65,2
91,44,1
91,67,1
91,50,1
91,81,1
91,32,1
91,12,2
91,31,1
91,86,1
91,52,1
91,90,1
58,83,2
58,94,1
58,37,1
58,80,1
58,96,1
58,87,1
58,24,1
58,13,1
58,44,1
70,72,1
70,69,1
70,56,2
70,53,1
70,82,1
70,64,2
