x,y,count
45,5,2
45,4,1
45,0,2
45,90,1
45,18,1
45,16,1
45,82,1
45,9,2
45,25,1
45,2,1
45,13,1
56,3,1
56,5,5
56,2,1
56,4,2
56,94,1
56,96,1
56,0,5
56,13,4
56,18,1
56,9,1
56,90,2
56,10,1
56,16,1
56,88,2
56,45,1
56,6,1
56,7,1
41,5,1
41,7,3
41,76,2
41,0,1
41,11,1
41,16,1
41,4,1
41,15,1
41,9,2
41,36,1
41,37,1
41,12,1
41,10,1
41,17,2
41,3,1
37,6,2
37,4,2
37,5,1
37,20,1
37,12,4
37,10,3
37,30,1
37,14,2
37,3,1
37,0,4
37,7,2
37,33,1
37,9,1
37,64,1
37,8,1
57,7,1
57,6,3
57,10,2
57,3,2
57,0,7
57,89,1
57,9,2
57,12,1
57,93,1
57,2,1
57,17,1
57,68,2
28,8,1
28,96,1
28,85,1
28,5,1
28,0,2
28,3,3
28,4,1
28,12,1
28,26,1
28,10,1
28,14,1
28,7,1
28,50,1
28,64,1
28,22,3
28,23,1
28,6,1
28,11,1
47,11,2
47,13,1
47,53,1
47,0,5
47,54,1
47,6,3
47,41,1
47,45,2
47,7,1
47,3,1
32,6,1
32,4,3
32,12,1
32,0,3
32,18,1
32,30,2
32,9,2
32,3,2
32,26,1
32,22,1
61,4,1
61,14,1
61,13,1
61,64,1
61,19,1
61,3,1
61,0,7
61,21,1
61,8,1
61,61,1
61,10,1
61,7,1
61,5,1
61,2,1
61,27,1
64,7,2
64,43,1
64,19,1
64,62,1
64,1,1
64,40,1
64,0,2
64,4,2
64,48,1
64,10,1
64,6,1
46,11,1
46,45,1
46,5,2
46,26,1
46,25,1
46,16,1
46,0,3
46,95,1
46,60,1
46,6,1
42,7,1
42,4,3
42,78,1
42,0,4
42,5,2
42,31,1
42,35,1
42,12,1
42,21,1
42,28,1
42,20,1
42,11,2
42,92,1
42,2,1
42,26,1
42,10,1
58,3,1
58,4,1
58,30,1
58,11,1
58,32,1
58,94,1
58,6,1
58,0,3
58,21,1
58,12,1
58,16,1
58,17,1
58,8,1
70,1,1
70,11,2
70,77,2
70,0,1
70,17,1
70,3,4
70,30,1
70,26,1
70,71,1
70,37,1
70,29,1
70,23,1
70,14,1
70,7,1
67,5,3
67,6,2
67,20,2
67,23,2
67,47,1
67,4,1
67,0,5
67,22,1
67,87,1
67,2,1
67,7,1
67,3,1
63,6,3
63,0,4
63,100,1
63,78,1
63,4,2
63,16,1
63,14,2
63,21,1
63,3,1
63,25,1
63,34,1
63,71,1
63,22,2
63,53,1
63,15,2
63,89,1
63,20,1
63,29,1
63,10,1
69,33,1
69,92,1
69,100,1
69,8,1
69,21,2
69,19,1
69,7,1
69,69,1
69,89,1
69,31,1
69,28,1
53,8,4
53,5,1
53,58,1
53,50,1
53,7,4
53,12,2
53,0,4
53,3,1
53,22,1
53,16,1
53,45,1
53,31,1
44,4,2
44,0,2
44,3,2
44,52,1
44,5,3
44,8,3
44,12,1
44,34,1
44,35,1
44,25,1
44,14,1
44,31,1
44,100,1
44,16,1
44,18,1
44,9,2
62,10,1
62,6,2
62,0,5
62,14,1
62,20,1
62,82,1
62,7,1
74,4,1
74,6,1
74,95,1
74,100,2
74,21,1
74,45,1
74,5,2
74,8,1
74,73,1
74,16,1
74,2,1
74,78,1
74,13,1
38,0,3
38,11,3
38,25,1
38,10,1
38,7,1
38,5,2
38,34,1
38,16,2
38,13,1
38,14,1
38,85,1
38,3,2
38,6,1
38,47,1
38,15,1
27,18,3
27,9,1
27,21,2
27,93,1
27,100,1
27,11,1
27,36,1
27,6,1
27,5,2
27,29,1
27,12,2
27,22,1
27,37,1
27,62,1
27,33,1
27,2,1
27,30,1
27,95,1
27,10,1
54,8,1
54,0,1
54,15,1
54,21,1
54,39,1
54,25,1
54,4,2
54,11,1
54,3,4
54,13,1
54,7,2
54,10,1
54,40,1
54,28,1
54,26,1
79,9,1
79,11,1
79,0,4
79,6,1
79,18,1
79,32,1
79,21,1
79,24,1
79,34,1
79,17,1
79,4,1
86,15,1
86,8,1
86,6,1
86,7,1
86,23,1
86,35,1
86,29,1
86,3,1
86,0,1
86,26,1
86,67,1
86,19,1
86,9,1
86,21,1
86,10,1
8,0,3
8,41,1
8,38,1
8,17,1
8,7,2
8,14,2
8,34,1
8,43,1
8,55,1
8,61,1
8,73,1
8,78,1
8,47,1
8,12,1
8,33,1
12,3,1
12,44,1
12,0,1
12,48,1
12,19,1
12,67,1
12,12,1
12,5,1
12,36,1
10,40,1
10,22,1
10,32,1
10,44,2
10,43,1
10,42,1
10,24,1
10,39,1
10,49,2
10,87,1
10,56,1
10,37,2
10,11,2
10,41,2
10,34,1
25,27,1
25,10,1
25,9,1
25,12,1
25,22,1
25,17,2
25,7,1
25,34,1
25,20,1
25,24,1
25,4,1
23,34,1
23,0,3
23,5,3
23,21,1
23,4,2
23,94,1
23,19,1
23,17,2
23,15,1
23,29,1
23,2,2
23,13,1
23,86,1
23,11,1
23,14,1
23,9,2
23,7,1
23,24,1
23,16,1
59,6,2
