x,y,count
8,43,2
8,46,1
8,47,3
8,36,1
8,32,3
8,65,1
8,52,4
8,68,1
8,51,1
8,56,1
8,48,1
8,55,1
8,54,1
8,30,1
8,42,1
8,49,1
8,6,1
8,24,1
8,92,1
8,73,1
8,50,1
8,39,1
8,11,1
35,24,2
35,18,1
35,51,3
35,78,1
35,19,1
35,57,1
35,15,2
35,30,3
35,13,2
35,11,3
35,46,1
35,27,2
35,58,2
35,17,2
35,38,1
35,47,1
35,14,1
35,28,1
35,54,2
35,59,1
35,32,1
35,5,2
35,12,1
35,41,1
35,35,2
35,25,1
35,70,1
35,31,1
35,39,2
35,63,1
35,29,2
35,23,3
35,52,1
35,34,2
35,6,2
35,16,1
35,97,1
35,45,2
35,21,1
35,55,1
35,69,1
35,95,1
35,2,2
35,40,1
36,20,2
36,29,1
36,27,3
36,33,3
36,90,1
36,36,3
36,46,3
36,28,3
36,0,1
36,34,1
36,15,1
36,25,2
36,7,1
36,59,1
36,39,1
36,5,1
36,6,1
36,22,1
36,54,2
36,17,2
36,12,2
36,69,1
36,30,3
36,31,1
36,21,1
36,8,1
36,26,1
36,43,1
36,60,1
36,61,1
36,49,1
36,75,1
24,26,2
24,69,2
24,46,2
24,75,1
24,21,1
24,39,1
24,14,2
24,27,2
24,9,3
24,22,1
24,30,1
24,33,2
24,60,1
24,41,1
24,67,2
24,34,1
24,3,1
24,70,2
24,25,1
24,28,1
24,35,1
24,40,2
24,56,1
24,57,1
24,61,1
24,43,1
24,17,1
24,32,1
25,19,3
25,23,2
25,81,1
25,75,2
25,28,3
25,1,2
25,12,1
25,34,2
25,59,1
25,49,1
25,30,2
25,31,1
25,15,1
25,9,1
25,52,1
25,17,2
25,24,2
25,25,1
25,7,1
25,41,1
25,43,3
25,27,2
25,26,2
25,33,2
25,44,1
25,70,1
25,87,1
25,61,1
25,67,1
25,22,1
39,17,2
39,7,4
39,37,1
39,35,2
39,33,2
39,27,1
39,24,2
39,69,1
39,46,1
39,5,1
39,47,2
39,44,1
39,25,1
39,39,1
39,28,1
39,14,1
39,89,1
39,65,1
39,48,1
39,11,1
39,20,1
39,6,1
39,31,1
39,49,1
39,72,1
39,75,1
39,16,1
39,2,1
32,35,4
32,24,1
32,25,1
