x,y,count
40,16,2
40,37,3
40,34,1
40,40,2
40,10,1
40,12,1
40,46,1
40,45,1
40,50,1
40,49,1
40,19,1
40,38,1
40,27,1
40,13,2
40,20,1
40,0,1
40,15,1
40,29,1
40,33,2
40,31,2
40,32,1
40,26,1
40,35,1
40,23,1
40,43,1
40,17,2
40,24,2
40,9,1
40,30,1
40,74,1
40,77,1
40,84,1
35,36,2
35,23,2
35,52,1
35,30,2
35,14,3
35,4,3
35,32,2
35,62,2
35,57,3
35,8,1
35,48,3
35,9,1
35,11,1
35,40,1
35,31,1
35,16,1
35,24,2
35,38,4
35,15,1
35,54,1
35,45,1
35,47,2
35,84,1
35,29,1
35,22,2
35,35,1
35,18,1
35,43,1
15,11,1
15,54,1
15,40,1
15,5,1
15,17,1
15,28,1
15,30,1
15,29,1
15,15,3
15,34,1
15,22,1
66,21,1
66,41,1
66,31,1
66,25,1
66,17,1
66,45,1
66,15,1
66,24,1
66,36,1
60,17,1
60,35,1
60,24,2
60,64,2
60,15,1
60,27,2
60,16,2
60,38,1
60,26,1
60,39,1
60,34,1
10,39,1
10,71,1
10,16,3
10,54,1
10,19,1
10,48,1
10,13,1
10,18,1
10,27,1
10,34,1
10,11,1
10,31,1
10,55,1
10,63,1
10,65,1
10,67,1
11,54,1
11,39,1
11,24,1
11,32,2
11,28,3
11,11,1
11,42,2
11,35,1
11,29,2
34,57,1
34,22,1
34,15,1
34,64,1
34,34,3
34,66,1
34,27,1
34,35,1
34,28,2
34,7,1
34,52,2
34,42,1
34,40,1
34,21,1
34,55,1
34,18,1
34,50,2
34,36,1
34,41,1
34,31,1
34,37,1
34,23,1
34,11,1
34,9,1
34,46,1
34,44,1
34,85,1
34,29,1
34,60,1
53,46,1
53,14,2
53,93,1
53,5,1
53,22,2
53,11,2
53,52,2
53,29,1
53,41,1
53,9,1
53,6,1
53,32,2
53,30,1
53,23,1
53,17,1
53,19,2
53,44,1
53,28,1
53,71,1
53,57,1
53,50,1
53,55,1
58,19,2
58,37,1
58,12,1
58,23,1
58,34,1
58,31,1
58,33,1
58,14,1
58,44,1
58,69,1
58,27,1
48,35,1
48,55,1
48,52,1
48,8,1
48,44,1
48,27,2
48,24,1
48,40,1
47,31,1
47,85,1
47,20,1
47,40,1
47,34,2
47,30,1
47,26,2
47,43,1
47,59,1
47,10,1
47,45,1
47,41,1
47,47,1
47,37,1
47,70,1
47,92,1
47,57,1
47,14,1
47,11,1
30,21,1
30,36,1
30,39,2
30,45,5
30,30,3
30,64,1
30,17,1
30,25,3
30,16,1
30,47,1
30,35,5
30,44,2
30,29,1
30,38,2
30,18,2
30,20,1
30,34,2
30,13,1
30,14,2
30,41,1
30,27,1
30,48,1
30,59,1
30,24,1
30,46,1
30,9,1
30,32,1
30,51,1
41,6,1
41,21,4
41,30,2
41,40,1
41,27,3
41,28,1
41,38,1
41,19,2
41,29,2
41,52,1
41,13,1
41,26,1
41,31,1
41,22,2
41,23,1
41,34,1
41,24,1
41,32,1
41,77,1
41,94,1
41,59,1
41,61,1
41,70,1
27,48,3
27,23,1
27,38,1
27,26,2
27,21,1
27,28,3
27,24,1
27,33,2
27,51,1
27,20,1
27,16,1
27,17,1
27,70,2
27,27,1
27,53,1
27,50,1
27,45,1
27,67,1
27,77,1
27,47,1
27,32,1
27,55,1
27,46,2
27,41,1
98,39,1
98,51,1
31,78,1
31,37,1
31,50,1
31,13,1
31,14,1
31,40,1
31,7,2
31,48,1
31,18,1
31,29,2
31,45,1
31,9,1
31,92,1
31,35,2
31,30,2
31,47,2
31,53,3
31,51,1
31,27,3
31,28,3
31,66,1
31,24,2
31,54,2
31,49,2
31,25,1
31,56,1
31,6,1
31,76,1
31,42,1
31,33,1
31,22,1
31,55,1
20,68,1
20,25,1
20,15,1
20,40,1
20,43,1
20,14,1
20,70,1
20,65,1
20,22,1
20,35,1
20,24,1
20,27,1
20,12,1
20,23,1
20,13,1
20,59,1
51,13,1
51,32,1
51,8,1
51,21,2
51,17,2
51,25,1
51,23,1
51,56,1
51,89,1
51,62,1
45,43,1
45,32,2
45,37,1
45,3,1
45,4,1
45,46,1
45,6,1
45,67,1
45,56,1
45,33,1
45,48,1
45,41,1
45,34,3
45,40,1
